Title,Image Link,Product Link,Price,SKU,Item ID
Electric Toaster Oven Prestige 35L NEW,https://img.drz.lazcdn.com/static/bd/p/3f8b7886c0fc6d89cfaba35914f3ebb6.jpg_200x200q80.avif,https://www.daraz.com.bd/products/electric-toaster-oven-prestige-35l-new-i232581112.html,6101,232581112_BD-1175414232,232581112
Miyako Electric Multi Purpose Oven,https://img.drz.lazcdn.com/g/kf/Sc79e268e04c14d4e8403c16def79406cK.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-electric-multi-purpose-oven-i216639441.html,6754,216639441_BD-2537704357,216639441
Electric Toaster Oven Prestige 20L,https://img.drz.lazcdn.com/static/bd/p/258a3642154a16782a999492ee3a4c0b.jpg_200x200q80.avif,https://www.daraz.com.bd/products/20l-i135136395.html,4931,135136395_BD-1057048372,135136395
Prestige Electric Toaster Oven - 25 Liter,https://img.drz.lazcdn.com/static/bd/p/mdc/9e154d4ba0a9df763a757f6bbcadd2ec.jpg_200x200q80.avif,https://www.daraz.com.bd/products/prestige-electric-toaster-oven-25-liter-i135140231.html,5475,135140231_BD-1057046565,135140231
Samsung Official Micro Oven 23L Model- MS23K3513AK/D2,https://img.drz.lazcdn.com/static/bd/p/a216186add334c8b0d3a0a99e6922d33.jpg_200x200q80.avif,https://www.daraz.com.bd/products/samsung-23l-ms23k3513akd2-i286665261.html,18500,286665261_BD-1284899870,286665261
Original microwave oven magnetron M24FA-410A Heater,https://img.drz.lazcdn.com/static/bd/p/9ce9e1901150a334dc453facf88008df.jpg_200x200q80.avif,https://www.daraz.com.bd/products/m24fa-410a-i312208060.html,1200,312208060_BD-1401467512,312208060
Hisense Official Fair Electronics warranty 26L Grill Microwave Oven with Grey Cavity (H26MOBS5HG),https://img.drz.lazcdn.com/static/bd/p/8607a878234e6d82fb562c865d536762.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-official-fair-electronics-warranty-26l-grill-microwave-oven-with-grey-cavity-h26mobs5hg-i464287044.html,16900,464287044_BD-2228631063,464287044
Hisense Official warranty 25L Solo Microwave Oven with Grey Cavity (H25MOBS5H),https://img.drz.lazcdn.com/g/kf/Sba5f34d5e47a4c3786d81202588262b13.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-official-warranty-25l-solo-microwave-oven-with-grey-cavity-h25mobs5h-i464821496.html,15400,464821496_BD-2232046799,464821496
Sharp R-20MT-S Basic Solo Microwave Oven । 20 Liter,https://img.drz.lazcdn.com/static/bd/p/174a3344eb3de23ac79c97231a7b61f4.jpg_200x200q80.avif,https://www.daraz.com.bd/products/sharp-r-20mt-s-basic-solo-microwave-oven-20-liter-i133292402.html,14650,133292402_BD-1054934426,133292402
Vision Microwave Oven - 20 Ltr (J5),https://img.drz.lazcdn.com/static/bd/p/307d68e167d46543da8f56d3ea6d82a3.jpg_200x200q80.avif,https://www.daraz.com.bd/products/20-ltr-j5-i250149316.html,9000,250149316_BD-1196596512,250149316
Walton WMWO-20GKE - Microwave + Grill Cooking Capacity: 20L.,https://img.drz.lazcdn.com/static/bd/p/5c5c6c205e7281197acb881cde5c8be4.png_200x200q80.avif,https://www.daraz.com.bd/products/walton-wmwo-20gke-microwave-grill-cooking-capacity-20l-i465849271.html,10010,465849271_BD-2238132151,465849271
NMW90D23AL-G1-A Microwave Oven W/Grill 23L - Black,https://img.drz.lazcdn.com/static/bd/p/8665db048c453ffd1af76e1e12b68973.jpg_200x200q80.avif,https://www.daraz.com.bd/products/nmw90d23al-g1-a-microwave-oven-wgrill-23l-black-i2199514.html,9499,AT167HLAAM56NAFAMZ-59777,2199514
40 Liter Miyako Electric Oven MT-40-FRENCH-RCL,https://img.drz.lazcdn.com/g/kf/S9b5845b5443c427698e8efb40ca94d0eZ.jpg_200x200q80.avif,https://www.daraz.com.bd/products/40-liter-miyako-electric-oven-mt-40-french-rcl-i269156584.html,9500,269156584_BD-1241117871,269156584
Hisense H26MOBS5HG 26L Grill MWO with Grey Cavity,https://img.drz.lazcdn.com/static/bd/p/23f25db2acf1b5cb7a3b703933031ddb.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-h26mobs5hg-26l-mwo-i468102110.html,14990,468102110_BD-2250698352,468102110
Electric Toaster Oven Prestige 61L,https://img.drz.lazcdn.com/static/bd/p/8ef8bd63f5859f0b5826bc7aafab70ac.jpg_200x200q80.avif,https://www.daraz.com.bd/products/61l-i220699610.html,11998,220699610_BD-1167848950,220699610
Whirlpool 30L Magicook Pro 30GE Grill Microwave Oven Official,https://img.drz.lazcdn.com/static/bd/p/3889e844fb0997bb98c5364aab551954.jpg_200x200q80.avif,https://www.daraz.com.bd/products/whirlpool-30l-magicook-pro-30ge-grill-microwave-oven-official-i367716644.html,19516,367716644_BD-1835157293,367716644
Hisense official warranty from Fair Electronics 20L Solo Microwave Oven with Grey Cavity (H20MOBS2H),https://img.drz.lazcdn.com/static/bd/p/7819205e9160d3c7ac87110dd8259e9a.png_200x200q80.avif,https://www.daraz.com.bd/products/hisense-official-warranty-from-fair-electronics-20l-solo-microwave-oven-with-grey-cavity-h20mobs2h-i464748578.html,11400,464748578_BD-2231741252,464748578
22 Liter Miyako Electric Toaster Oven MT-22RC,https://img.drz.lazcdn.com/static/bd/p/d7a77518ebc93e8c22ec9545baf6efdc.jpg_200x200q80.avif,https://www.daraz.com.bd/products/22-liter-miyako-electric-toaster-oven-mt-22rc-i429872003.html,4800,429872003_BD-2084955029,429872003
SHARP MICRO OVEN R-20MT (s),https://img.drz.lazcdn.com/static/bd/p/8a757ec26ffaf1da49fa63089cc35f74.jpg_200x200q80.avif,https://www.daraz.com.bd/products/r-20mt-s-i137356558.html,13690,137356558_BD-1059948479,137356558
Samsung Microwave oven | MG23K3515AK/D2 | Grill,https://img.drz.lazcdn.com/static/bd/p/22e064aa316a65b15daed6e576f040bb.png_200x200q80.avif,https://www.daraz.com.bd/products/samsung-microwave-oven-mg23k3515akd2-grill-i526604557.html,24900,526604557_BD-2537407540,526604557
"Mi Smart Air Fryer 3.5L | Air frying, Baking, Yoghurt, Dried fruit, Defrosting",https://img.drz.lazcdn.com/static/bd/p/3b731eaf917bd0672a996103372e79c6.jpg_200x200q80.avif,https://www.daraz.com.bd/products/mi-35l-i323644354.html,9490,323644354_BD-1542178254,323644354
"Miyako Mt-52Rcl Double Glass Electric Oven, 52 Liters.",https://img.drz.lazcdn.com/static/bd/p/bcfc6c04013889ba24698e941f2a7bba.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-52rcl-double-glass-electric-oven-52-liters-i318363002.html,10890,318363002_BD-1451361949,318363002
TRANSTEC 20 Liter Microwave Oven | Prime Solo 20SM,https://img.drz.lazcdn.com/static/bd/p/144167bd86e4e6d93d9e5a90b7b15aae.png_200x200q80.avif,https://www.daraz.com.bd/products/transtec-20-liter-microwave-oven-prime-solo-20sm-i444132152.html,9500,444132152_BD-2127952460,444132152
Miyako MT-280R Electric Toaster Oven (28 Liters),https://img.drz.lazcdn.com/static/bd/p/658e33c22acda3b3218b34e0a90dcd10.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-280r-28-i324087527.html,6849,324087527_BD-1549899954,324087527
"Prestige 33L Electric Toaster Oven - Versatile Kitchen Appliance for Baking, Toasting, and More, with a 33-Liter Capacity for Your Cooking Needs",https://img.drz.lazcdn.com/static/bd/p/cbb75a663309bcea5e59bec24b1c74a9.jpg_200x200q80.avif,https://www.daraz.com.bd/products/prestige-33l-electric-toaster-oven-versatile-kitchen-appliance-for-baking-toasting-and-more-with-a-33-liter-capacity-for-your-cooking-needs-i135134645.html,6025,135134645_BD-1057056145,135134645
Walton 30 Ltr Microwave+Grill Oven (WMWO-W30GPE),https://img.drz.lazcdn.com/static/bd/p/366d5be773a67b2a51ad78ef32c4048a.jpg_200x200q80.avif,https://www.daraz.com.bd/products/walton-30-ltr-microwavegrill-oven-wmwo-w30gpe-i465806355.html,15800,465806355_BD-2237999129,465806355
Miyako MT-240R Multipurpose Electric Oven 24 Liters,https://img.drz.lazcdn.com/static/bd/p/ac285e156f6e462810ff9da78e785058.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-240r-multipurpose-electric-oven-24-liters-i239603759.html,5589,239603759_BD-1182980784,239603759
52 Liter Miyako electric oven MT-52 RCL,https://img.drz.lazcdn.com/static/bd/p/114ec26a709808d898914109ed83aad7.jpg_200x200q80.avif,https://www.daraz.com.bd/products/52-liter-miyako-electric-oven-mt-52-rcl-i523062140.html,10750,523062140_BD-2521255906,523062140
K202 Stove + Gas - Bake Anywhere With A Foldable Oven - Comes With Free Gas Cans - Enjoy Convenient Outdoor Cooking Anywhere With This Portable And Easy-To-Use Foldable Oven,https://img.drz.lazcdn.com/static/bd/p/d0a627be086409b8c96198c995ab570b.jpg_200x200q80.avif,https://www.daraz.com.bd/products/k202-i229269888.html,1335,229269888_BD-1723020567,229269888
"SHARP EO42K, ELECTRIC OVEN, ( 42L. Black ).",https://img.drz.lazcdn.com/static/bd/p/da387bcdbbca9589aecf9f548b6cc0af.jpg_200x200q80.avif,https://www.daraz.com.bd/products/sharp-eo42k-42l-i167766670.html,12990,167766670_BD-1101608382,167766670
"Samsung official Convection Microwave Oven with Ceramic Cavity, 28 Litter Model- MC28H5023AK/D2 Black",https://img.drz.lazcdn.com/static/bd/p/78f6f80129ad94f47612c31316b94a19.jpg_200x200q80.avif,https://www.daraz.com.bd/products/samsung-28-mc28h5023akd2-i286677655.html,31900,286677655_BD-1284943844,286677655
Miyako MT-450RCL-D-RB Double Glass Door Multifunctional Electric Oven With Air Fryer.,https://img.drz.lazcdn.com/static/bd/p/1d770f4f5895a58c781dd3acc3d40bb1.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-450rcl-d-rb-i334522459.html,10150,334522459_BD-1626970218,334522459
Whirlpool Official Magiccook Convection Black Mirror 30L MICROWAVE,https://img.drz.lazcdn.com/static/bd/p/2e8c723e619829eaac373f1c1cd7f580.png_200x200q80.avif,https://www.daraz.com.bd/products/whirlpool-official-magiccook-convection-black-mirror-30l-microwave-i355598380.html,27900,355598380_BD-1749725036,355598380
Miyako Multi Purpose Electric Toaster Oven,https://img.drz.lazcdn.com/g/kf/Sef77c67c535e45f491d3513bc4027512E.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-multi-purpose-electric-toaster-oven-i150374924.html,6995,150374924_BD-2537713127,150374924
Hisense 20 Liter Solo Microwave Oven with LED Display & Grey Cavity (H20MOBS5H),https://img.drz.lazcdn.com/g/kf/Sad2df5e60ab242a2b455549ef8c6d26aN.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-20-liter-solo-microwave-oven-with-led-display-grey-cavity-h20mobs5h-i238168919.html,11900,238168919_BD-1644979028,238168919
Whirlpool Official warranty 25L Magicook Pro 25GE GRILL Microwave,https://img.drz.lazcdn.com/static/bd/p/aa9900dcbfa359353b3aebe435fc8d9e.jpg_200x200q80.avif,https://www.daraz.com.bd/products/whirlpool-official-warranty-25l-magicook-pro-25ge-grill-microwave-i496347371.html,15499,496347371_BD-2393784889,496347371
"Miyako 24L Multipurpose Electric Oven, MT-240R.",https://img.drz.lazcdn.com/static/bd/p/ac285e156f6e462810ff9da78e785058.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-24l-mt-240r-i258014759.html,5399,258014759_BD-1209374556,258014759
Samsung MC28H5023AK/D2 Convection & Grill Microwave Oven | 28 Liter,https://img.drz.lazcdn.com/static/bd/p/7b2d12baef1c2ae831bf2829987eb47f.jpg_200x200q80.avif,https://www.daraz.com.bd/products/samsung-mc28h5023akd2-28-i262288684.html,32988,262288684_BD-1224684471,262288684
Miyako MT-836RC - 36 Liters Electric Oven with Roast Basket,https://img.drz.lazcdn.com/static/bd/p/01af3afe6bf008a53434db020b7ec40a.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-836rc-36-liters-electric-oven-with-roast-basket-i239944479.html,9200,239944479_BD-1183370607,239944479
Miyako 32 Liter Convection Electric Oven MT-32DBL,https://img.drz.lazcdn.com/static/bd/p/b12e9dca1e8f960440bf92252ccaf226.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-32-mt-32dbl-i351968717.html,7915,351968717_BD-1834945729,351968717
Miyako Electric Multi Purpose Oven,https://img.drz.lazcdn.com/g/kf/Sc79e268e04c14d4e8403c16def79406cK.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-electric-multi-purpose-oven-i216639441.html,6754,216639441_BD-2537704357,216639441
Electric Toaster Oven Prestige 35L NEW,https://img.drz.lazcdn.com/static/bd/p/3f8b7886c0fc6d89cfaba35914f3ebb6.jpg_200x200q80.avif,https://www.daraz.com.bd/products/electric-toaster-oven-prestige-35l-new-i232581112.html,6101,232581112_BD-1175414232,232581112
Prestige Electric Toaster Oven - 25 Liter,https://img.drz.lazcdn.com/static/bd/p/mdc/9e154d4ba0a9df763a757f6bbcadd2ec.jpg_200x200q80.avif,https://www.daraz.com.bd/products/prestige-electric-toaster-oven-25-liter-i135140231.html,5475,135140231_BD-1057046565,135140231
Electric Toaster Oven Prestige 20L,https://img.drz.lazcdn.com/static/bd/p/258a3642154a16782a999492ee3a4c0b.jpg_200x200q80.avif,https://www.daraz.com.bd/products/20l-i135136395.html,4931,135136395_BD-1057048372,135136395
"Micro Synchronous Geared Motor AC 220V 50/60Hz 4W 2.5/4 RPM Round Robust For Microwaves Oven, AC, Motor, Mini Fans",https://img.drz.lazcdn.com/static/bd/p/4314b87074749a770b96b3b934c35a17.jpg_200x200q80.avif,https://www.daraz.com.bd/products/25-3rpm-220-240v-ac-4w-i335812954.html,248,335812954_BD-1634629353,335812954
2.5-3RPM Turntable Synchronous Motor 220-240V AC Motor 4W For Microwave,https://img.drz.lazcdn.com/static/bd/p/4314b87074749a770b96b3b934c35a17.jpg_200x200q80.avif,https://www.daraz.com.bd/products/25-3rpm-220-240v-ac-4w-i322921602.html,250,322921602_BD-1871160530,322921602
22 Liter Miyako Electric Toaster Oven MT-22RC,https://img.drz.lazcdn.com/static/bd/p/d7a77518ebc93e8c22ec9545baf6efdc.jpg_200x200q80.avif,https://www.daraz.com.bd/products/22-liter-miyako-electric-toaster-oven-mt-22rc-i429872003.html,4800,429872003_BD-2084955029,429872003
Oven Cover Dustproof microwave cover/ Beautiful multicolor printed oven cover,https://img.drz.lazcdn.com/static/bd/p/0817e08fd03f3c97c7f40fdd41674eee.png_200x200q80.avif,https://www.daraz.com.bd/products/-i522912085.html,84,522912085_BD-2520115281,522912085
"Miyako Mt-52Rcl Double Glass Electric Oven, 52 Liters.",https://img.drz.lazcdn.com/static/bd/p/bcfc6c04013889ba24698e941f2a7bba.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-52rcl-double-glass-electric-oven-52-liters-i318363002.html,10890,318363002_BD-1451361949,318363002
"Prestige 33L Electric Toaster Oven - Versatile Kitchen Appliance for Baking, Toasting, and More, with a 33-Liter Capacity for Your Cooking Needs",https://img.drz.lazcdn.com/static/bd/p/cbb75a663309bcea5e59bec24b1c74a9.jpg_200x200q80.avif,https://www.daraz.com.bd/products/prestige-33l-electric-toaster-oven-versatile-kitchen-appliance-for-baking-toasting-and-more-with-a-33-liter-capacity-for-your-cooking-needs-i135134645.html,6025,135134645_BD-1057056145,135134645
SHARP MICRO OVEN R-20MT (s),https://img.drz.lazcdn.com/static/bd/p/8a757ec26ffaf1da49fa63089cc35f74.jpg_200x200q80.avif,https://www.daraz.com.bd/products/r-20mt-s-i137356558.html,13690,137356558_BD-1059948479,137356558
NMW90D23AL-G1-A Microwave Oven W/Grill 23L - Black,https://img.drz.lazcdn.com/static/bd/p/8665db048c453ffd1af76e1e12b68973.jpg_200x200q80.avif,https://www.daraz.com.bd/products/nmw90d23al-g1-a-microwave-oven-wgrill-23l-black-i2199514.html,9499,AT167HLAAM56NAFAMZ-59777,2199514
Electric Toaster Oven Prestige 61L,https://img.drz.lazcdn.com/static/bd/p/8ef8bd63f5859f0b5826bc7aafab70ac.jpg_200x200q80.avif,https://www.daraz.com.bd/products/61l-i220699610.html,11998,220699610_BD-1167848950,220699610
Miyako Multi Purpose Electric Toaster Oven,https://img.drz.lazcdn.com/g/kf/Sef77c67c535e45f491d3513bc4027512E.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-multi-purpose-electric-toaster-oven-i150374924.html,6995,150374924_BD-2537713127,150374924
52 Liter Miyako electric oven MT-52 RCL,https://img.drz.lazcdn.com/static/bd/p/114ec26a709808d898914109ed83aad7.jpg_200x200q80.avif,https://www.daraz.com.bd/products/52-liter-miyako-electric-oven-mt-52-rcl-i523062140.html,10750,523062140_BD-2521255906,523062140
Hisense Official Fair Electronics warranty 26L Grill Microwave Oven with Grey Cavity (H26MOBS5HG),https://img.drz.lazcdn.com/static/bd/p/8607a878234e6d82fb562c865d536762.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-official-fair-electronics-warranty-26l-grill-microwave-oven-with-grey-cavity-h26mobs5hg-i464287044.html,16900,464287044_BD-2228631063,464287044
High Quality Microwave Oven Cover.,https://img.drz.lazcdn.com/static/bd/p/0e7cbd80b88b55bfb0dd99b33ea6345a.jpg_200x200q80.avif,https://www.daraz.com.bd/products/-i336484401.html,625,336484401_BD-1638549870,336484401
"Miyako MT-32DBL-RCL Doble Glass Electric Oven, 32 Liters.",https://img.drz.lazcdn.com/static/bd/p/6423832a69804b22d4336d5b73cba730.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-32dbl-rcl-doble-glass-electric-oven-32-liters-i314661605.html,8050,314661605_BD-1416108342,314661605
Oven Cover Dustproof microwave cover/ Beautiful multicolor printed oven cover,https://img.drz.lazcdn.com/static/bd/p/29eab4ea0e9cd95c069df87ee02f61ac.jpg_200x200q80.avif,https://www.daraz.com.bd/products/-i324829474.html,109,324829474_BD-1555653739,324829474
Miyako 32 Liter Convection Electric Oven MT-32DBL,https://img.drz.lazcdn.com/static/bd/p/b12e9dca1e8f960440bf92252ccaf226.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-32-mt-32dbl-i351968717.html,7915,351968717_BD-1834945729,351968717
Hand made Beautifully and Exclusive Designed Microwave Oven Dust Cover Fridge Cover / Oven Cover / Washing Mechine Cover,https://img.drz.lazcdn.com/static/bd/p/43e83c4dcb4d8db189adee2a7fd1a017.jpg_200x200q80.avif,https://www.daraz.com.bd/products/-i226039951.html,145,226039951_BD-1170818254,226039951
Miyako MT-280R Electric Toaster Oven (28 Liters),https://img.drz.lazcdn.com/static/bd/p/658e33c22acda3b3218b34e0a90dcd10.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-280r-28-i324087527.html,6849,324087527_BD-1549899954,324087527
Miyako 40 Liter Convection Electric Oven MT -40DBL,https://img.drz.lazcdn.com/static/bd/p/6d069f81e21b602b33e8af09e7355474.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-40-mt-40dbl-i429849402.html,9500,429849402_BD-2084940492,429849402
Miyako MT-836RC - 36 Liters Electric Oven with Roast Basket,https://img.drz.lazcdn.com/static/bd/p/01af3afe6bf008a53434db020b7ec40a.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-836rc-36-liters-electric-oven-with-roast-basket-i239944479.html,9200,239944479_BD-1183370607,239944479
Waterproof 1pcs Oven Dust Cover Grease Microwave Oven Cover With Storage Bag Kitchen Accessories Microwave Oven Hood,https://img.drz.lazcdn.com/static/bd/p/65688c78716a59c2e5ea9545202c6522.jpg_200x200q80.avif,https://www.daraz.com.bd/products/1-i314660033.html,150,314660033_BD-1599709764,314660033
Sharp R-20MT-S Basic Solo Microwave Oven । 20 Liter,https://img.drz.lazcdn.com/static/bd/p/174a3344eb3de23ac79c97231a7b61f4.jpg_200x200q80.avif,https://www.daraz.com.bd/products/sharp-r-20mt-s-basic-solo-microwave-oven-20-liter-i133292402.html,14650,133292402_BD-1054934426,133292402
Oven Cover Dustproof microwave cover/ Beautiful multicolor printed oven cover,https://img.drz.lazcdn.com/static/bd/p/57fc1c5abf141686cbbeb8d5d319d1f9.jpg_200x200q80.avif,https://www.daraz.com.bd/products/-i329283875.html,165,329283875_BD-1606031896,329283875
40 Liter Miyako Electric Oven MT-40-FRENCH-RCL,https://img.drz.lazcdn.com/g/kf/S9b5845b5443c427698e8efb40ca94d0eZ.jpg_200x200q80.avif,https://www.daraz.com.bd/products/40-liter-miyako-electric-oven-mt-40-french-rcl-i269156584.html,9500,269156584_BD-1241117871,269156584
Hisense Official warranty 25L Solo Microwave Oven with Grey Cavity (H25MOBS5H),https://img.drz.lazcdn.com/g/kf/Sba5f34d5e47a4c3786d81202588262b13.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-official-warranty-25l-solo-microwave-oven-with-grey-cavity-h25mobs5h-i464821496.html,15400,464821496_BD-2232046799,464821496
silicone grip gloves for oven,https://img.drz.lazcdn.com/g/kf/Sff9f3c5c25fd454b935500f3ecb3c54aO.jpg_200x200q80.avif,https://www.daraz.com.bd/products/-i498534560.html,150,498534560_BD-2404552923,498534560
Panasonic NT-H900 Compact Toaster Oven,https://img.drz.lazcdn.com/static/bd/p/a57847735881094aeb5d978f6ce7bf0c.jpg_200x200q80.avif,https://www.daraz.com.bd/products/panasonic-nt-h900-i214087535.html,6250,214087535_BD-1163180290,214087535
Whirlpool 30L Magicook Pro 30GE Grill Microwave Oven Official,https://img.drz.lazcdn.com/static/bd/p/3889e844fb0997bb98c5364aab551954.jpg_200x200q80.avif,https://www.daraz.com.bd/products/whirlpool-30l-magicook-pro-30ge-grill-microwave-oven-official-i367716644.html,19516,367716644_BD-1835157293,367716644
45 Liter Miyako Electric Oven + Air Fryer MT-450RCL-D-RB,https://img.drz.lazcdn.com/static/bd/p/6f21acdeecd24f43776aa82e3724f652.jpg_200x200q80.avif,https://www.daraz.com.bd/products/45-miyako-mt-450rcl-d-rb-i460215061.html,10700,460215061_BD-2201471038,460215061
Hisense 20 Liter Solo Microwave Oven with LED Display & Grey Cavity (H20MOBS5H),https://img.drz.lazcdn.com/g/kf/Sad2df5e60ab242a2b455549ef8c6d26aN.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-20-liter-solo-microwave-oven-with-led-display-grey-cavity-h20mobs5h-i238168919.html,11900,238168919_BD-1644979028,238168919
Oven Cover Dustproof microwave cover/ Beautiful multicolor printed oven cover - Oven Cover,https://img.drz.lazcdn.com/static/bd/p/d6d2e8606b9a1d29aa740d4f8cee3bb0.jpg_200x200q80.avif,https://www.daraz.com.bd/products/-i309235928.html,122,309235928_BD-1385094966,309235928
Miyako KT-6002 Automatic Bread Toaster Bread maker with Lid,https://img.drz.lazcdn.com/static/bd/p/4d808dd41abc84c02508746434e61f2e.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-kt-6002-i300138578.html,2379,300138578_BD-1333820176,300138578
