Title,Image Link,Product Link,Price,SKU,Item ID
Electric Toaster Oven Prestige 35L NEW,https://img.drz.lazcdn.com/static/bd/p/3f8b7886c0fc6d89cfaba35914f3ebb6.jpg_200x200q80.avif,https://www.daraz.com.bd/products/electric-toaster-oven-prestige-35l-new-i232581112.html,6101,232581112_BD-1175414232,232581112
Miyako Electric Multi Purpose Oven,https://img.drz.lazcdn.com/g/kf/Sc79e268e04c14d4e8403c16def79406cK.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-electric-multi-purpose-oven-i216639441.html,6754,216639441_BD-2537704357,216639441
Electric Toaster Oven Prestige 20L,https://img.drz.lazcdn.com/static/bd/p/258a3642154a16782a999492ee3a4c0b.jpg_200x200q80.avif,https://www.daraz.com.bd/products/20l-i135136395.html,4931,135136395_BD-1057048372,135136395
Prestige Electric Toaster Oven - 25 Liter,https://img.drz.lazcdn.com/static/bd/p/mdc/9e154d4ba0a9df763a757f6bbcadd2ec.jpg_200x200q80.avif,https://www.daraz.com.bd/products/prestige-electric-toaster-oven-25-liter-i135140231.html,5475,135140231_BD-1057046565,135140231
Samsung Official Micro Oven 23L Model- MS23K3513AK/D2,https://img.drz.lazcdn.com/static/bd/p/a216186add334c8b0d3a0a99e6922d33.jpg_200x200q80.avif,https://www.daraz.com.bd/products/samsung-23l-ms23k3513akd2-i286665261.html,18500,286665261_BD-1284899870,286665261
Original microwave oven magnetron M24FA-410A Heater,https://img.drz.lazcdn.com/static/bd/p/9ce9e1901150a334dc453facf88008df.jpg_200x200q80.avif,https://www.daraz.com.bd/products/m24fa-410a-i312208060.html,1200,312208060_BD-1401467512,312208060
Hisense Official Fair Electronics warranty 26L Grill Microwave Oven with Grey Cavity (H26MOBS5HG),https://img.drz.lazcdn.com/static/bd/p/8607a878234e6d82fb562c865d536762.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-official-fair-electronics-warranty-26l-grill-microwave-oven-with-grey-cavity-h26mobs5hg-i464287044.html,16900,464287044_BD-2228631063,464287044
Hisense Official warranty 25L Solo Microwave Oven with Grey Cavity (H25MOBS5H),https://img.drz.lazcdn.com/g/kf/Sba5f34d5e47a4c3786d81202588262b13.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-official-warranty-25l-solo-microwave-oven-with-grey-cavity-h25mobs5h-i464821496.html,15400,464821496_BD-2232046799,464821496
Sharp R-20MT-S Basic Solo Microwave Oven । 20 Liter,https://img.drz.lazcdn.com/static/bd/p/174a3344eb3de23ac79c97231a7b61f4.jpg_200x200q80.avif,https://www.daraz.com.bd/products/sharp-r-20mt-s-basic-solo-microwave-oven-20-liter-i133292402.html,14650,133292402_BD-1054934426,133292402
Vision Microwave Oven - 20 Ltr (J5),https://img.drz.lazcdn.com/static/bd/p/307d68e167d46543da8f56d3ea6d82a3.jpg_200x200q80.avif,https://www.daraz.com.bd/products/20-ltr-j5-i250149316.html,9000,250149316_BD-1196596512,250149316
Walton WMWO-20GKE - Microwave + Grill Cooking Capacity: 20L.,https://img.drz.lazcdn.com/static/bd/p/5c5c6c205e7281197acb881cde5c8be4.png_200x200q80.avif,https://www.daraz.com.bd/products/walton-wmwo-20gke-microwave-grill-cooking-capacity-20l-i465849271.html,10010,465849271_BD-2238132151,465849271
NMW90D23AL-G1-A Microwave Oven W/Grill 23L - Black,https://img.drz.lazcdn.com/static/bd/p/8665db048c453ffd1af76e1e12b68973.jpg_200x200q80.avif,https://www.daraz.com.bd/products/nmw90d23al-g1-a-microwave-oven-wgrill-23l-black-i2199514.html,9499,AT167HLAAM56NAFAMZ-59777,2199514
40 Liter Miyako Electric Oven MT-40-FRENCH-RCL,https://img.drz.lazcdn.com/g/kf/S9b5845b5443c427698e8efb40ca94d0eZ.jpg_200x200q80.avif,https://www.daraz.com.bd/products/40-liter-miyako-electric-oven-mt-40-french-rcl-i269156584.html,9500,269156584_BD-1241117871,269156584
Hisense H26MOBS5HG 26L Grill MWO with Grey Cavity,https://img.drz.lazcdn.com/static/bd/p/23f25db2acf1b5cb7a3b703933031ddb.jpg_200x200q80.avif,https://www.daraz.com.bd/products/hisense-h26mobs5hg-26l-mwo-i468102110.html,14990,468102110_BD-2250698352,468102110
Electric Toaster Oven Prestige 61L,https://img.drz.lazcdn.com/static/bd/p/8ef8bd63f5859f0b5826bc7aafab70ac.jpg_200x200q80.avif,https://www.daraz.com.bd/products/61l-i220699610.html,11998,220699610_BD-1167848950,220699610
Whirlpool 30L Magicook Pro 30GE Grill Microwave Oven Official,https://img.drz.lazcdn.com/static/bd/p/3889e844fb0997bb98c5364aab551954.jpg_200x200q80.avif,https://www.daraz.com.bd/products/whirlpool-30l-magicook-pro-30ge-grill-microwave-oven-official-i367716644.html,19516,367716644_BD-1835157293,367716644
Hisense official warranty from Fair Electronics 20L Solo Microwave Oven with Grey Cavity (H20MOBS2H),https://img.drz.lazcdn.com/static/bd/p/7819205e9160d3c7ac87110dd8259e9a.png_200x200q80.avif,https://www.daraz.com.bd/products/hisense-official-warranty-from-fair-electronics-20l-solo-microwave-oven-with-grey-cavity-h20mobs2h-i464748578.html,11400,464748578_BD-2231741252,464748578
22 Liter Miyako Electric Toaster Oven MT-22RC,https://img.drz.lazcdn.com/static/bd/p/d7a77518ebc93e8c22ec9545baf6efdc.jpg_200x200q80.avif,https://www.daraz.com.bd/products/22-liter-miyako-electric-toaster-oven-mt-22rc-i429872003.html,4800,429872003_BD-2084955029,429872003
SHARP MICRO OVEN R-20MT (s),https://img.drz.lazcdn.com/static/bd/p/8a757ec26ffaf1da49fa63089cc35f74.jpg_200x200q80.avif,https://www.daraz.com.bd/products/r-20mt-s-i137356558.html,13690,137356558_BD-1059948479,137356558
Samsung Microwave oven | MG23K3515AK/D2 | Grill,https://img.drz.lazcdn.com/static/bd/p/22e064aa316a65b15daed6e576f040bb.png_200x200q80.avif,https://www.daraz.com.bd/products/samsung-microwave-oven-mg23k3515akd2-grill-i526604557.html,24900,526604557_BD-2537407540,526604557
"Mi Smart Air Fryer 3.5L | Air frying, Baking, Yoghurt, Dried fruit, Defrosting",https://img.drz.lazcdn.com/static/bd/p/3b731eaf917bd0672a996103372e79c6.jpg_200x200q80.avif,https://www.daraz.com.bd/products/mi-35l-i323644354.html,9490,323644354_BD-1542178254,323644354
"Miyako Mt-52Rcl Double Glass Electric Oven, 52 Liters.",https://img.drz.lazcdn.com/static/bd/p/bcfc6c04013889ba24698e941f2a7bba.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-52rcl-double-glass-electric-oven-52-liters-i318363002.html,10890,318363002_BD-1451361949,318363002
TRANSTEC 20 Liter Microwave Oven | Prime Solo 20SM,https://img.drz.lazcdn.com/static/bd/p/144167bd86e4e6d93d9e5a90b7b15aae.png_200x200q80.avif,https://www.daraz.com.bd/products/transtec-20-liter-microwave-oven-prime-solo-20sm-i444132152.html,9500,444132152_BD-2127952460,444132152
Miyako MT-280R Electric Toaster Oven (28 Liters),https://img.drz.lazcdn.com/static/bd/p/658e33c22acda3b3218b34e0a90dcd10.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-280r-28-i324087527.html,6849,324087527_BD-1549899954,324087527
"Prestige 33L Electric Toaster Oven - Versatile Kitchen Appliance for Baking, Toasting, and More, with a 33-Liter Capacity for Your Cooking Needs",https://img.drz.lazcdn.com/static/bd/p/cbb75a663309bcea5e59bec24b1c74a9.jpg_200x200q80.avif,https://www.daraz.com.bd/products/prestige-33l-electric-toaster-oven-versatile-kitchen-appliance-for-baking-toasting-and-more-with-a-33-liter-capacity-for-your-cooking-needs-i135134645.html,6025,135134645_BD-1057056145,135134645
Walton 30 Ltr Microwave+Grill Oven (WMWO-W30GPE),https://img.drz.lazcdn.com/static/bd/p/366d5be773a67b2a51ad78ef32c4048a.jpg_200x200q80.avif,https://www.daraz.com.bd/products/walton-30-ltr-microwavegrill-oven-wmwo-w30gpe-i465806355.html,15800,465806355_BD-2237999129,465806355
Miyako MT-240R Multipurpose Electric Oven 24 Liters,https://img.drz.lazcdn.com/static/bd/p/ac285e156f6e462810ff9da78e785058.jpg_200x200q80.avif,https://www.daraz.com.bd/products/miyako-mt-240r-multipurpose-electric-oven-24-liters-i239603759.html,5589,239603759_BD-1182980784,239603759
52 Liter Miyako electric oven MT-52 RCL,https://img.drz.lazcdn.com/static/bd/p/114ec26a709808d898914109ed83aad7.jpg_200x200q80.avif,https://www.daraz.com.bd/products/52-liter-miyako-electric-oven-mt-52-rcl-i523062140.html,10750,523062140_BD-2521255906,523062140
K202 Stove + Gas - Bake Anywhere With A Foldable Oven - Comes With Free Gas Cans - Enjoy Convenient Outdoor Cooking Anywhere With This Portable And Easy-To-Use Foldable Oven,https://img.drz.lazcdn.com/static/bd/p/d0a627be086409b8c96198c995ab570b.jpg_200x200q80.avif,https://www.daraz.com.bd/products/k202-i229269888.html,1335,229269888_BD-1723020567,229269888
"SHARP EO42K, ELECTRIC OVEN, ( 42L. Black ).",https://img.drz.lazcdn.com/static/bd/p/da387bcdbbca9589aecf9f548b6cc0af.jpg_200x200q80.avif,https://www.daraz.com.bd/products/sharp-eo42k-42l-i167766670.html,12990,167766670_BD-1101608382,167766670
