Name,Mobile
এসএস কম্পিউটার | মিরপুর-10,01643946107
ইট বিডি শপ,01710913417
ল্যাপটপ ওয়ার্ল্ড বিডি,01861999948
ওয়ার্ল্ড কম্পিউটার সিস্টেম,01618927565
গ্রিন টেকনোলজি,01315090371
ইউ টেক বিডী,01711385849
Laptop House BD,01773062835
ল্যাপটপ.সোর্স,01724406156
ল্যাপটপ স্টেশন,01815807070
তাকওয়া ল্যাপটপ জনে,01708374850
এসকে কম্পিউটার,01710378513
ল্যাপটপ লাউঞ্জ,01631898580
21 টেকনোলজি,01304231600
কম্পিউটার ক্যাসল,01726300494
কম্পিউটার পয়েন্ট,01911266791
ইট ভ্যালি,01753331205
গম টেক,01618216141
অ্যাপোলো গ্যাজেট,01982628412
এমসি সলিউশন বিডি ( মিরপুর ব্রাঞ্চ ),01407056597
ল্যাপটপ টেরিটোরি,01779811661
ল্যাপটপ ভিলা,01710528906
প্ল্যানেট ইট বিডি,01719706250
নেক্সাস কম্পিউটার ~ আইডিবি,09638017907
ল্যাপটপ মার্ট,01787895833
আর কম্পিউটার্স,01631003820
গেমারস সাইড,01515298013
ল্যাপটপ ইউনিভার্স,01819218941
গ্যাজেট বিডি 71,01711070922
ইউনিভার্স কম্পিউটার কেয়ার,01934386987
Maraya Global (Mirpur Branch),01606590629
আব্দুল্লাহ কম্পিউটার সায়েন্স,01640888882
Smart Buy Laptops,01785626326
ফারুক ইট সলিউশন,01995758211
Treematrik,01817042433
ডিজিটাল পয়েন্ট,01999930014
রায়ানস কম্পিউটারস | আইডিবি ভবন,09604442121
ফিক্সইট,01930800277
রিমেক্স টেক বিডি,01815252545
Rainbow Computars,01977999448
ইউনিভার্স কম্পিউটার কেয়ার,01934386987
আব্দুল্লাহ কম্পিউটার সায়েন্স,01640888882
ইউজডল্যাপটপ-বিডি.কম,01958488908
Sujan Computer,01710584218
গম টেক,01618216141
ইসলামিক কম্পিউটার এন্ড ট্রেনিং সেন্টার,01672470701
জে&এস এলটিডি,01932547959
ফারুক ইট সলিউশন,01995758211
22টেকি ইট সলিউশন সেন্টের,01706620007
সাইফ ল্যাপটপ জোন,01922445080
ও2 ট্রেড ইন্টারন্যাশনাল,01681939426
সুইফ্টকোড ইট সলিউশন,01914227711
Mirpur Computer মিরপুর কম্পিউটার,01921669268
বিএম কম্পিউটার্স (ঢাকা আউটলেট),01966000225
Treematrik,01817042433
ডিএস টেকনোলজি,01712191496
Smart Buy Laptops,01785626326
"নগর ডিজিটাল সেন্টার, ওয়ার্ড নং- ৬, ডিএনসিসি",01816408251
ওয়াল্টন মিরপুর 10,01676005319
ডিজিটাল কম্পিউটারস,01711066824
এএন নূর আইটি সোর্স,01978855233
নেক্সাস কম্পিউটার ~ আইডিবি,09638017907
ল্যাপটপ প্রাইম,01971578204
ইত্যাদি স্টোর,01571408584
1833 টেক বিডি,01711355414
মাস্টার টেক বিডি,01750885981
এইচ আর কম্পিউটার,01989599513
কম্পিউটনিক জোন,01612257425
ড্রিম কম্পিউটার,01989155427
রেনবো কম্পিউটার,01575049587
এইচকে টেকনোলজি,01765576665
টেক & টেকনোলজি 24,01705955794
রারও টেক,01303922737
ইজি & এফিশিয়েন্ট সলিউশন,01611863754
ওয়াল্টন প্লাজা মিরপুর-10,01678048572
এ ত জেড টেকনোলজি,01617083040
Zone Tech BD,01771265755
রিপন কম্পিউটার,01926187475
ইট গ্যালারি,01710913417
ঢাকা টেকনোলজি,01875755060
এবিএম কম্পিউটার্স,01628640398
আফোর্ড সলিউশনস,01816417204
রিলায়েবলবাজার,01682212191
স্মার্ট কম্পিউটার এন্ড সাইবার ক্যাফে,01737195422
Transcom Digital,01713189844
আদিল কম্পিউটার কর্ণার,01818069794
রায়ানস কম্পিউটারস | আইডিবি ভবন,09604442121
পিসি সাপোর্ট,01987296608
Zoom Computer Laptop,01618082958
জুম ইট সলিউশন,01768482326
ক্যামেরা & গ্যাজেট মিরপুর,01673418186
বেস্ট ল্যাপটপ গ্যালারী,01703808715
প্রাইম স্টার টেকনলজি,01992821423
RAYNS Office,01727005555
TOTAL 360,01829355555
কোয়ালিটি টেক,01701003371
ল্যাপটপ ওয়ার্ল্ড জনে,01686129295
হিমেল শপ,01760153030
উইণ্টপ,01601299327
ডিবি টেকনোলজিস,01916590447
"ওয়ালটন প্লাজা, প্রশিকার মোড়",01686691943
