Name,Mobile,website,address
Computer Mania BD,09613660044,https://computermania.com.bd/,"23/G/1 4th Floor, B Tower, Panthapath, Dhaka 1215"
Bangladesh Laptop Gallery,01687321007,https://blgbd.com/,"Shop#12, Ground Floor,ICT Bhaban (Suvastu Arched, New Elephant Rd, Dhaka 1205"
"Nexus Computer - Buy Laptop, Desktop, Computer accessories in Bangladesh",09638017907,https://www.nexus.com.bd/,"E/8 A, IDB Bhaban, 2nd Floor SR: 223/13-14, Rokeya Sharani, Dhaka 1207"
Laptop.Source,01724406156,https://laptopsourceltd.com/,"No 255 ,107 4th Floor, Sony Bhaban, Shenpara Parbata ,Metro Piller, Dhaka 1216"
𝗔𝗕𝗡 𝗧𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝘆 | 𝗕𝗲𝘀𝘁 𝗨𝘀𝗲𝗱 𝗟𝗮𝗽𝘁𝗼𝗽 𝗦𝗵𝗼𝗽 𝗶𝗻 𝗗𝗵𝗮𝗸𝗮,01322992004,http://abntechnology.bdsite.net/,"2nd floor, Shop no-322, Alpona plaza, 51, 323 New Elephant Rd, Dhaka 1205"
Laptop World BD,01861999948,http://laptopworldbd.com/,"Shop -08, Level- 02, Dewan Market, Mirpur 10 Roundabout, Dhaka 1216"
Laptop BD,01838994422,https://laptopbd.net/,"69, Multiplan Center, Shop #352, Lavel- 3, 71 New Elephant Rd, Dhaka 1205"
Sardar Tech | Used laptop shop in Dhaka,01733449239,https://sardartech.xyz/,"Level- 06, Shop No: 54, Eastern Mollika shopping Complex, New Elephant Rd, Dhaka 1205"
"Star Tech Ltd. | Leading Computer, Laptop & Gaming PC Retail & Online Shop in Bangladesh",01709995543,https://www.startech.com.bd/,"Shop-934-935, 942-944, 975,976, 634-635, 504, 505, 325-326, 148-155, Multiplan Center, New Elephant Rd, Dhaka 1205"
You Tech BD,01711385849,,"Section-06, House-93,Level-3.Road-2, 10 Boundary Rd, Dhaka 1216"
Area 51,01734618965,https://area51.com.bd/,"Level 5, Block C, Shop 55,66, Bashundhara City Shopping Complex, Dhaka 1215"
Daffodil Computers Ltd.,01708484336,http://www.daffodil-bd.com/,"Ground Floor, 54 Kemal Ataturk Ave, Dhaka 1213"
Basic Tecnologies,01916626248,https://www.basictech.com.bd/,"69, ECS Computer City, Multiplan Centre, Basic Technologies Shop No : 811, 812, Level-8, 71 New Elephant Rd, Dhaka 1205"
IT BD Shop,01710913417,http://itbdshop.com/,"R949+F6, Dhaka 1216"
Tech Land BD - IDB Branch,01324294307,http://www.techlandbd.com/,"Shop 134, Level 2, BCS Computer City, Begum Rokeya Ave, Dhaka 1207"
Computer Mania BD | Jamuna Future Park Branch,01762000004,https://computermania.com.bd/,"Jamuna Future Park, Level #4 Zone -B, Shop No: 4B-024A, Dhaka 1212"
Raj laptop gallery,01748261551,https://rajlaptopgallary.com/,"level # 6, Block # D, Shop # 53/67, Bashundhara city Shopping mall, Panthapath, Dhaka 1215"
Gadget 360 Degree - Basundhara City,01609680525,http://www.gadget360degree.com/,"Level-6, Basundhara city shopping complex Shop-105, Dhaka 1209"
World Computer System,01618927565,http://www.wcs.com.bd/,"Shop no 702, 6th Floor, Shah Ali Plaza, Dhaka 1216"
MC Solution BD ( Bashundhara City Branch ),01770328858,http://mcsolution.com.bd/,"Level #05 , Block #C , Shop #64, Bashundhara City Shopping Complex, 65 Panthapath, Dhaka 1215"
Sell Tech BD,01759546431,https://selltech.com.bd/,"Shop: 703,704,728,740, Level:7, Suvastu Arcade (ICT Bhaban, New Elephant Rd, Dhaka 1205"
Star Tech Ltd - Banani Branch,01709995574,https://www.startech.com.bd/,"156 Kemal Ataturk Ave, Dhaka 1212"
FOUR STAR IT (Gulshan Branch),01730433474,,"Taher Tower, 10 DIT II Cir, Dhaka 1212"
Ryans Computers - Banani,09638009072,https://www.ryans.com/,"41 Kemal Ataturk Ave, Dhaka 1213"
EERNA Gulshan Branch - HP Partner,01777734204,https://eerna.com.bd/,"Shop No 518, 519, 520, Fourth Floor, Police Plaza Concord Police Plaza Concord, Dhaka 1212"
Binary Logic,01611449778,https://www.binarylogic.com.bd/,"IDB Bhaban, Shop No. 247 & 248 2nd floor, BCS Computer City, IDB Bhaban, BCS Computer City, IDB Bhaban, Dhaka 1207"
MC Solution BD ( Mirpur Branch ),01407056597,https://mcsolution.com.bd/,"Shop No-703, 6th Floor, R949+GPV Shah Ali Plaza, Club Road, Dhaka 1216"
SR Laptop Zone,01681295671,http://www.hmslaptech.com/,"1230, House building, Shop: 302-303 SR Tower Sector 07, 1230"
ল্যাপটপ বিডি,01716173013,http://www.laptopbd.com/,"V99X+9X2, Dhaka 1230"
