Name,Mobile,website,address
Assure Group | Leading Real Estate Company Bangladesh,09612008800,https://www.assuregroupbd.com/,"5th & 19th floor, Jabbar Tower, 42 Gulshan Ave, Dhaka 1212"
Navana Real Estate Ltd.,01730150390,https://navana-realestate.com/,"House 3/A, Road 90, Gulshan-2, Navana Real Estate Ltd Corporate Office Dhaka, 1212"
Concord Real Estate Ltd,01708469955,https://concordrealestatebd.com/,"Concord Center, 43, Dhaka 1212"
"Century Realtor - Real Estate Agent In Dhaka, Bangladesh",01300376849,https://centuryrealtorbd.com/,"House, 14D Rd Number 2, Dhaka 1213"
Bay Developments Ltd.,0255051803,https://baydevelopments.com/,"Bay's Edgewater, NE (N) 12 Madani Ave, Dhaka 1212"
Brokerage,01755662414,https://brokeragebd.com/,"bti Celebration Point,Plot 3 & 5, Road: 113/A, Dhaka 1212"
Mir Real Estate Ltd.,029889336,https://www.mirrealestate.com/,"House: B, 147 Rd Number 22, Dhaka 1206"
SAREL Shamsul Alamin Real Estate Ltd,01730027920,http://sarebd.co/,"House no: 10,Road No: 22, Block: K, Dhaka 1216"
building technology & ideas ltd - bti,09613191919,https://www.btibd.com/,"Plot – 3 & 5, bti, Celebration Point, Rd No 113/A, Dhaka 1212"
Suvastu Properties Ltd.,01844500400,https://www.suvastuproperties.com/,"Suvastu Imam Square, 5th Floor, 65 Gulshan Ave, Dhaka 1212"
Edison Real Estate,09610916760,https://edisonrealestatebd.com/,"র‌্যাংগস ব্যাবিলনিয়া, 246 Bir Uttam Mir Shawkat Sarak, Dhaka 1208"
JP Real Estate Ltd.,01844232467,http://www.jprealestateltd.com/,"Banani, Road#17, Block#D House#07, 7th Floor, 1213"
pbazaar,01715024150,https://pbazaar.com/,"House 193 Road 1, Dhaka 1212"
Shanta Holdings Limited,01678666444,http://www.shantaholdings.com/,"187,188/B, Shanta Forum, East Tower, Level 20-22, 22 Bir Uttam Mir Shawkat Sarak, Dhaka 1208"
Red Roots Ltd.,01988000066,https://redroots.com.bd/,"House - 5, Road - 6/A, Pragati Sarani, Baridhara J Block, Dhaka 1212"
Nakshi Homes Ltd.,01716977292,,"House : 42/A(4th Floor, Road : 9/A Dhanmondi Bridge, Dhaka 1209"
GLG Assets Ltd,01713178602,https://glgassets.com/,"House # 12 Rd 16/A, Dhaka 1212"
Property Finder Bangladesh,01978514277,https://propertyfinderbd.com/,"Road # 3, House # 77/B, Dhaka 1213"
এবিসি রিয়েল এস্টেট লিমিটেড,029889237,http://www.abcreal.com.bd/,"ABC House, 8 Kemal Ataturk Avenue, Banani Commercial Area, Dhaka 1213"
Resource Real Estate Ltd.,029338580,http://resource-bd.net/,"27/11/2-A (1st Floor, Topkhana Road, Dhaka 1000"
Jams Group | Pioneer Real Estate Developer & Construction Company in Bangladesh,01313791373,https://www.jamsgroup.org/,"AMANULLAH TRADE CENTER, 10th Floor, Plot No. New-26 (Old-6, 2 Gulshan North Ave, Dhaka 1229"
Homefairbd,01926298040,https://www.homefairbd.com/,"14th floor, RIDGE AHMED SQUARE, 50/1 Inner Circular(VIP) Road, Dhaka 1000"
GM HOLDINGS LTD,01708485321,http://gmhl.com.bd/,"Mostafa Center (Ground Floor & 1st Floor), House No. 59 Road No. 27, Block - K, Dhaka 1213"
SARCO Estate Agents Ltd,01733222300,,"PBL Tower 13th Floor, 17 Gulshan North C/A, Circle - 02, Dhaka 1212, 1212"
Landmark Real Estate Ltd.,029899041,,"4th Floor, House # 1, Rd 23/A, Dhaka 1212"
